CustomerID,Future_purchase
12347.0,1
12348.0,0
12349.0,1
12350.0,0
12352.0,1
12353.0,0
12354.0,0
12355.0,0
12356.0,1
12357.0,1
12358.0,1
12359.0,1
12360.0,1
12361.0,0
12362.0,1
12363.0,0
12364.0,1
12365.0,0
12367.0,1
12370.0,0
12371.0,1
12372.0,0
12373.0,0
12374.0,1
12375.0,1
12377.0,0
12378.0,0
12379.0,0
12380.0,1
12381.0,1
12383.0,0
12384.0,1
12386.0,0
12388.0,1
12390.0,0
12391.0,1
12393.0,0
12394.0,0
12395.0,1
12397.0,1
12398.0,0
12399.0,0
12401.0,0
12402.0,0
12403.0,0
12405.0,0
12406.0,1
12407.0,0
12408.0,1
12409.0,0
12410.0,0
12412.0,0
12413.0,0
12414.0,0
12415.0,1
12417.0,1
12418.0,0
12420.0,0
12421.0,1
12422.0,0
12423.0,1
12424.0,0
12425.0,0
12426.0,0
12427.0,1
12428.0,1
12429.0,1
12430.0,1
12431.0,0
12432.0,1
12433.0,1
12434.0,0
12435.0,0
12436.0,0
12437.0,1
12438.0,1
12442.0,1
12444.0,1
12445.0,1
12446.0,0
12447.0,0
12448.0,1
12449.0,1
12450.0,0
12451.0,1
12452.0,1
12453.0,0
12454.0,0
12455.0,0
12456.0,1
12457.0,0
12458.0,0
12461.0,0
12462.0,1
12463.0,1
12464.0,1
12465.0,1
12468.0,0
12471.0,1
12472.0,1
12473.0,1
12474.0,1
12475.0,1
12476.0,1
12477.0,1
12478.0,1
12479.0,1
12480.0,1
12481.0,1
12483.0,1
12484.0,1
12488.0,1
12489.0,0
12490.0,1
12491.0,1
12492.0,0
12493.0,0
12494.0,1
12497.0,0
12498.0,1
12500.0,1
12501.0,0
12502.0,0
12503.0,0
12504.0,1
12505.0,0
12506.0,0
12507.0,0
12508.0,1
12509.0,0
12510.0,0
12512.0,0
12513.0,0
12514.0,0
12516.0,0
12517.0,1
12518.0,1
12519.0,0
12520.0,0
12521.0,0
12522.0,1
12523.0,1
12524.0,1
12526.0,1
12527.0,0
12528.0,1
12530.0,0
12531.0,1
12532.0,1
12534.0,0
12535.0,0
12536.0,1
12538.0,1
12539.0,1
12540.0,1
12541.0,1
12544.0,1
12545.0,0
12546.0,1
12547.0,0
12548.0,0
12550.0,0
12552.0,1
12553.0,1
12556.0,1
12557.0,1
12558.0,1
12559.0,0
12560.0,1
12561.0,0
12562.0,1
12564.0,0
12565.0,0
12566.0,0
12567.0,1
12569.0,1
12571.0,0
12572.0,1
12573.0,0
12574.0,0
12576.0,1
12577.0,1
12578.0,1
12579.0,0
12580.0,0
12581.0,1
12582.0,0
12583.0,1
12584.0,1
12585.0,0
12586.0,1
12587.0,1
12588.0,0
12589.0,0
12590.0,0
12591.0,0
12592.0,0
12593.0,0
12594.0,1
12596.0,0
12597.0,1
12598.0,1
12599.0,1
12600.0,1
12601.0,0
12602.0,0
12603.0,1
12604.0,0
12607.0,0
12609.0,0
12610.0,1
12611.0,0
12612.0,0
12613.0,1
12614.0,0
12615.0,1
12616.0,0
12617.0,1
12618.0,1
12619.0,1
12620.0,1
12621.0,1
12622.0,0
12623.0,0
12624.0,0
12625.0,0
12626.0,1
12627.0,1
12628.0,1
12630.0,1
12631.0,0
12633.0,1
12635.0,0
12637.0,0
12638.0,1
12639.0,0
12640.0,1
12641.0,0
12642.0,1
12643.0,0
12644.0,0
12645.0,1
12646.0,1
12647.0,1
12648.0,0
12649.0,0
12650.0,1
12651.0,0
12652.0,0
12653.0,0
12654.0,1
12656.0,1
12657.0,1
12658.0,1
12659.0,1
12660.0,1
12662.0,1
12664.0,1
12665.0,0
12667.0,0
12668.0,1
12669.0,0
12670.0,1
12672.0,0
12673.0,1
12674.0,1
12676.0,1
12678.0,1
12679.0,1
12680.0,1
12681.0,1
12682.0,1
12683.0,1
12684.0,1
12685.0,1
12688.0,0
12689.0,1
12690.0,0
12691.0,1
12693.0,0
12694.0,0
12695.0,1
12697.0,1
12700.0,1
12701.0,0
12702.0,1
12703.0,0
12704.0,1
12705.0,1
12707.0,0
12708.0,1
12709.0,1
12710.0,0
12712.0,1
12713.0,1
12714.0,1
12715.0,0
12716.0,1
12717.0,0
12718.0,0
12719.0,1
12720.0,1
12721.0,1
12722.0,0
12723.0,1
12724.0,1
12726.0,1
12727.0,1
12728.0,0
12729.0,0
12731.0,1
12732.0,0
12733.0,0
12735.0,0
12736.0,0
12739.0,0
12740.0,0
12743.0,0
12744.0,1
12747.0,1
12748.0,1
12749.0,1
12750.0,0
12752.0,0
12753.0,1
12754.0,0
12755.0,0
12756.0,0
12757.0,1
12758.0,0
12759.0,0
12762.0,1
12763.0,0
12764.0,0
12766.0,1
12769.0,0
12770.0,0
12772.0,0
12775.0,1
12778.0,1
12779.0,1
12781.0,1
12782.0,1
12783.0,1
12784.0,1
12785.0,1
12787.0,1
12789.0,1
12790.0,0
12792.0,0
12793.0,0
12794.0,0
12795.0,1
12798.0,0
12802.0,0
12808.0,1
12809.0,0
12811.0,0
12812.0,1
12814.0,0
12815.0,0
12816.0,0
12817.0,0
12818.0,0
12820.0,1
12821.0,0
12822.0,0
12823.0,0
12824.0,0
12826.0,1
12827.0,1
12828.0,1
12829.0,0
12830.0,0
12831.0,0
12832.0,1
12833.0,0
12834.0,0
12836.0,0
12837.0,0
12838.0,0
12839.0,1
12840.0,0
12841.0,1
12842.0,0
12843.0,0
12844.0,1
12845.0,0
12847.0,1
12849.0,1
12851.0,0
12852.0,0
12853.0,0
12854.0,0
12856.0,1
12857.0,0
12863.0,1
12864.0,0
12865.0,1
12866.0,0
12867.0,1
12868.0,0
12871.0,0
12872.0,0
12873.0,0
12876.0,1
12877.0,1
12878.0,1
12879.0,1
12881.0,0
12882.0,1
12883.0,1
12884.0,0
12885.0,0
12886.0,0
12888.0,0
12890.0,1
12893.0,1
12895.0,0
12897.0,0
12901.0,1
12902.0,0
12904.0,1
12906.0,1
12909.0,1
12910.0,1
12912.0,1
12913.0,1
12915.0,0
12916.0,0
12917.0,0
12919.0,1
12920.0,1
12921.0,1
12922.0,0
12923.0,0
12924.0,0
12925.0,1
12928.0,1
12929.0,0
12930.0,0
12931.0,0
12933.0,1
12935.0,1
12936.0,1
12937.0,1
12938.0,1
12939.0,1
12940.0,1
12942.0,0
12943.0,0
12944.0,1
12945.0,0
12947.0,0
12948.0,1
12949.0,1
12950.0,1
12951.0,1
12952.0,1
12953.0,1
12955.0,1
12956.0,0
12957.0,1
12962.0,1
12963.0,1
12965.0,0
12966.0,1
12967.0,1
12968.0,0
12970.0,1
12971.0,1
12974.0,0
12976.0,0
12977.0,0
12980.0,0
12981.0,1
12982.0,0
12984.0,1
12985.0,1
12987.0,0
12988.0,0
12989.0,1
12990.0,1
12991.0,1
12993.0,1
12994.0,1
12995.0,0
12997.0,1
12999.0,0
13000.0,0
13001.0,1
13002.0,0
13003.0,0
13004.0,1
13005.0,0
13006.0,1
13008.0,0
13012.0,1
13013.0,1
13014.0,1
13015.0,1
